publication_date,collection_from,collection_to,approximate_period,institute,company,method_era,survey_type,sample_size,denominator_note,S,M,SD,V,C,KD,L,MP,FI,uncertain,other,coverage_period,eligibility
2016-06-30,2016-06-01,2016-06-20,true,Skop,Skop,,voting_intention,1021,respondents; effective sample size unknown,29.6,26.4,14.1,7.2,7.7,2.2,5.7,4.6,1.9,7,2.5,eight_party_2010,eligible
2016-06-30,2016-05-30,2016-06-26,false,Novus,Novus,,voting_intention,4001,respondents; effective sample size unknown,26.2,26,18.2,7.5,6.7,2.8,5,4.3,2.4,5.8,3.3,eight_party_2010,eligible
